rank,country,Population,Year,particulateMatter
111,Angola,"34,503,774",2019,15.9
111,Angola,"34,503,774",2020,13
111,Angola,"34,503,774",2021,11
111,Angola,"34,503,774",2022,8.8
111,Angola,"34,503,774",2023,7.8
112,United Kingdom,"67,326,569",2018,10.8
112,United Kingdom,"67,326,569",2019,10.5
112,United Kingdom,"67,326,569",2020,8.3
112,United Kingdom,"67,326,569",2021,8.8
112,United Kingdom,"67,326,569",2022,8.9
112,United Kingdom,"67,326,569",2023,7.7
113,Denmark,"5,856,733",2018,NA
113,Denmark,"5,856,733",2019,9.6
113,Denmark,"5,856,733",2020,9.4
113,Denmark,"5,856,733",2021,9.6
113,Denmark,"5,856,733",2022,8.6
113,Denmark,"5,856,733",2023,7.7
114,Anguilla,"15,094",2018,NA
114,Anguilla,"15,094",2019,NA
114,Anguilla,"15,094",2020,NA
114,Anguilla,"15,094",2021,NA
114,Anguilla,"15,094",2022,NA
114,Anguilla,"15,094",2023,7.4
115,Ecuador,"17,797,737",2018,NA
115,Ecuador,"17,797,737",2019,8.6
115,Ecuador,"17,797,737",2020,7.6
115,Ecuador,"17,797,737",2021,8.4
115,Ecuador,"17,797,737",2022,NA
115,Ecuador,"17,797,737",2023,7.4
116,Liechtenstein,"39,039",2018,NA
116,Liechtenstein,"39,039",2019,NA
116,Liechtenstein,"39,039",2020,NA
116,Liechtenstein,"39,039",2021,7.2
116,Liechtenstein,"39,039",2022,8.3
116,Liechtenstein,"39,039",2023,7.2
117,Jamaica,"2,827,695",2018,NA
117,Jamaica,"2,827,695",2019,NA
117,Jamaica,"2,827,695",2020,NA
117,Jamaica,"2,827,695",2021,NA
117,Jamaica,"2,827,695",2022,NA
117,Jamaica,"2,827,695",2023,7.1
118,Portugal,"10,325,147",2018,9.4
118,Portugal,"10,325,147",2019,9.3
118,Portugal,"10,325,147",2020,9.1
118,Portugal,"10,325,147",2021,7.1
118,Portugal,"10,325,147",2022,8.1
118,Portugal,"10,325,147",2023,6.8
119,Ireland,"5,033,165",2018,9.5
119,Ireland,"5,033,165",2019,10.6
119,Ireland,"5,033,165",2020,8.6
119,Ireland,"5,033,165",2021,8
119,Ireland,"5,033,165",2022,7.5
119,Ireland,"5,033,165",2023,6.3
120,Norway,"5,408,320",2018,7.6
120,Norway,"5,408,320",2019,6.9
120,Norway,"5,408,320",2020,5.7
120,Norway,"5,408,320",2021,7.5
120,Norway,"5,408,320",2022,7
120,Norway,"5,408,320",2023,6.3
121,Costa Rica,"5,153,957",2018,NA
121,Costa Rica,"5,153,957",2019,10.4
121,Costa Rica,"5,153,957",2020,8.2
121,Costa Rica,"5,153,957",2021,7.8
121,Costa Rica,"5,153,957",2022,7.9
121,Costa Rica,"5,153,957",2023,6.1
122,Trinidad and Tobago,"1,525,663",2018,NA
122,Trinidad and Tobago,"1,525,663",2019,NA
122,Trinidad and Tobago,"1,525,663",2020,NA
122,Trinidad and Tobago,"1,525,663",2021,7.1
122,Trinidad and Tobago,"1,525,663",2022,5.1
122,Trinidad and Tobago,"1,525,663",2023,5.8
123,Bahamas,"407,906",2018,NA
123,Bahamas,"407,906",2019,3.3
123,Bahamas,"407,906",2020,NA
123,Bahamas,"407,906",2021,5.5
123,Bahamas,"407,906",2022,NA
123,Bahamas,"407,906",2023,5.2
124,Sweden,"10,415,811",2018,7.4
124,Sweden,"10,415,811",2019,6.6
124,Sweden,"10,415,811",2020,5
124,Sweden,"10,415,811",2021,6.6
124,Sweden,"10,415,811",2022,6.2
124,Sweden,"10,415,811",2023,5.1
125,Finland,"5,541,017",2018,6.6
125,Finland,"5,541,017",2019,5.6
125,Finland,"5,541,017",2020,5
125,Finland,"5,541,017",2021,5.5
125,Finland,"5,541,017",2022,5
125,Finland,"5,541,017",2023,4.9
126,Estonia,"1,330,932",2018,7.2
126,Estonia,"1,330,932",2019,6.2
126,Estonia,"1,330,932",2020,5.9
126,Estonia,"1,330,932",2021,5.9
126,Estonia,"1,330,932",2022,4.9
126,Estonia,"1,330,932",2023,4.7
127,Puerto Rico,"3,263,584",2018,13.7
127,Puerto Rico,"3,263,584",2019,10.2
127,Puerto Rico,"3,263,584",2020,3.7
127,Puerto Rico,"3,263,584",2021,4.8
127,Puerto Rico,"3,263,584",2022,4.3
127,Puerto Rico,"3,263,584",2023,4.5
128,Australia,"25,688,079",2018,6.8
128,Australia,"25,688,079",2019,8
128,Australia,"25,688,079",2020,7.6
128,Australia,"25,688,079",2021,5.7
128,Australia,"25,688,079",2022,4.2
128,Australia,"25,688,079",2023,4.5
129,New Zealand,"5,122,600",2018,7.7
129,New Zealand,"5,122,600",2019,7.5
129,New Zealand,"5,122,600",2020,7
129,New Zealand,"5,122,600",2021,6.8
129,New Zealand,"5,122,600",2022,4.8
129,New Zealand,"5,122,600",2023,4.3
130,Bermuda,"63,867",2018,NA
130,Bermuda,"63,867",2019,NA
130,Bermuda,"63,867",2020,NA
130,Bermuda,"63,867",2021,NA
130,Bermuda,"63,867",2022,3
130,Bermuda,"63,867",2023,4.1
131,Grenada,"124,610",2018,NA
131,Grenada,"124,610",2019,NA
131,Grenada,"124,610",2020,NA
131,Grenada,"124,610",2021,5.5
131,Grenada,"124,610",2022,3.8
131,Grenada,"124,610",2023,4.1
132,Iceland,"372,520",2018,5
132,Iceland,"372,520",2019,5.5
132,Iceland,"372,520",2020,7.2
132,Iceland,"372,520",2021,6.1
132,Iceland,"372,520",2022,3.4
132,Iceland,"372,520",2023,4
133,Mauritius,"1,266,060",2018,NA
133,Mauritius,"1,266,060",2019,NA
133,Mauritius,"1,266,060",2020,NA
133,Mauritius,"1,266,060",2021,NA
133,Mauritius,"1,266,060",2022,NA
133,Mauritius,"1,266,060",2023,3.5
134,French Polynesia,"304,032",2018,NA
134,French Polynesia,"304,032",2019,NA
134,French Polynesia,"304,032",2020,NA
134,French Polynesia,"304,032",2021,NA
134,French Polynesia,"304,032",2022,2.5
134,French Polynesia,"304,032",2023,3.2
